 Results for ntg,nwn,filling,cluster,ntot,ndim,inhgrid,chcrt0
       20000         800  0.849906061910793      16B         200           2
           0  0.244367952437218     
 ed,u,beta,iter,run,meas,tprime,tperp
  0.393699895375276        1.50000000000000        2.00000000000000     
           1       80000           1  0.000000000000000E+000
  0.000000000000000E+000
 nfocc=     <Sign>     skip
  0.424953030955396        1.00000000000000                4
 Vmax ,nuse, alpha, vblmax
         100           8  0.510000000000000                4
           mu**2            T*chi_ii(T)
  0.000000000000000E+000  0.000000000000000E+000
 iter            1  of            1
   configuration  v_tau,v_site, v_s  
   1.00000000000000               17
   7504.00000000000                7           1
   2593.00000000000               12          -1
   15794.0000000000               12          -1
   15325.0000000000               12          -1
   13447.0000000000                4          -1
   13213.0000000000                5          -1
   15427.0000000000                1           1
   6848.00000000000                2           1
   14630.0000000000               15          -1
   15460.0000000000                4          -1
   10596.0000000000                9           1
   11304.0000000000                7           1
   14695.0000000000                2           1
   17750.0000000000               14          -1
   6023.00000000000                9           1
   2276.00000000000               14          -1
   11715.0000000000                2           1
 n   ic  sigma(n,ic)  sigmapt(n,ic)  GcKfsc(n,ic)  iwn(n)   quadw(n)
   45    4  (-0.112587E+00,-0.384627E-02) (-0.112545E+00,-0.354436E-02) ( 0.247940E-04,-0.699573E-02)    142.942466      1.000000
   46    4  (-0.112586E+00,-0.376356E-02) (-0.112545E+00,-0.346815E-02) ( 0.237391E-04,-0.684529E-02)    146.084058      1.000000
   47    4  (-0.112585E+00,-0.368434E-02) (-0.112544E+00,-0.339515E-02) ( 0.227501E-04,-0.670118E-02)    149.225651      1.000000
   48    4  (-0.112585E+00,-0.360838E-02) (-0.112543E+00,-0.332515E-02) ( 0.218216E-04,-0.656302E-02)    152.367244      1.000000
   49    4  (-0.112584E+00,-0.353549E-02) (-0.112543E+00,-0.325798E-02) ( 0.209488E-04,-0.643043E-02)    155.508836      1.000000
   50    4  (-0.112584E+00,-0.346549E-02) (-0.112542E+00,-0.319348E-02) ( 0.201274E-04,-0.630310E-02)    158.650429      1.000000
   51    4  (-0.112583E+00,-0.339820E-02) (-0.112542E+00,-0.313147E-02) ( 0.193533E-04,-0.618071E-02)    161.792022      1.000000
   52    4  (-0.112583E+00,-0.333348E-02) (-0.112541E+00,-0.307183E-02) ( 0.186231E-04,-0.606299E-02)    164.933614      1.000000
   53    4  (-0.112582E+00,-0.327118E-02) (-0.112541E+00,-0.301442E-02) ( 0.179334E-04,-0.594966E-02)    168.075207      1.000000
   54    4  (-0.112582E+00,-0.321116E-02) (-0.112541E+00,-0.295912E-02) ( 0.172814E-04,-0.584050E-02)    171.216800      1.000000
   55    4  (-0.112581E+00,-0.315331E-02) (-0.112540E+00,-0.290580E-02) ( 0.166642E-04,-0.573526E-02)    174.358392      1.000000
   56    4  (-0.112581E+00,-0.309750E-02) (-0.112540E+00,-0.285438E-02) ( 0.160796E-04,-0.563376E-02)    177.499985      1.000000
   57    4  (-0.112581E+00,-0.304364E-02) (-0.112539E+00,-0.280474E-02) ( 0.155251E-04,-0.553578E-02)    180.641578      1.000000
   58    4  (-0.112580E+00,-0.299161E-02) (-0.112539E+00,-0.275680E-02) ( 0.149989E-04,-0.544115E-02)    183.783170      1.000000
   59    4  (-0.112580E+00,-0.294134E-02) (-0.112539E+00,-0.271047E-02) ( 0.144990E-04,-0.534971E-02)    186.924763      1.000000
   60    4  (-0.112580E+00,-0.289272E-02) (-0.112539E+00,-0.266568E-02) ( 0.140236E-04,-0.526128E-02)    190.066356      1.000000
   61    4  (-0.112579E+00,-0.284569E-02) (-0.112538E+00,-0.262233E-02) ( 0.135713E-04,-0.517573E-02)    193.207948      1.000000
   62    4  (-0.112579E+00,-0.280016E-02) (-0.112538E+00,-0.258038E-02) ( 0.131405E-04,-0.509292E-02)    196.349541      1.000000
   63    4  (-0.112579E+00,-0.275607E-02) (-0.112538E+00,-0.253975E-02) ( 0.127299E-04,-0.501272E-02)    199.491134      1.000000
   64    4  (-0.112579E+00,-0.271334E-02) (-0.112537E+00,-0.250037E-02) ( 0.123382E-04,-0.493501E-02)    202.632726      1.000000
   65    4  (-0.112578E+00,-0.267192E-02) (-0.112537E+00,-0.246220E-02) ( 0.119644E-04,-0.485966E-02)    205.774319      1.000000
   66    4  (-0.112578E+00,-0.263174E-02) (-0.112537E+00,-0.242518E-02) ( 0.116072E-04,-0.478659E-02)    208.915911      1.000000
   67    4  (-0.112578E+00,-0.259275E-02) (-0.112537E+00,-0.238925E-02) ( 0.112659E-04,-0.471567E-02)    212.057504      1.000000
   68    4  (-0.112578E+00,-0.255491E-02) (-0.112537E+00,-0.235438E-02) ( 0.109393E-04,-0.464683E-02)    215.199097      1.000000
   69    4  (-0.112577E+00,-0.251815E-02) (-0.112536E+00,-0.232050E-02) ( 0.106268E-04,-0.457997E-02)    218.340689      1.000000
   70    4  (-0.112577E+00,-0.248243E-02) (-0.112536E+00,-0.228759E-02) ( 0.103275E-04,-0.451501E-02)    221.482282      1.000000
   71    4  (-0.112577E+00,-0.244771E-02) (-0.112536E+00,-0.225560E-02) ( 0.100406E-04,-0.445186E-02)    224.623875      1.000000
   72    4  (-0.112577E+00,-0.241395E-02) (-0.112536E+00,-0.222449E-02) ( 0.976555E-05,-0.439046E-02)    227.765467      1.000000
   73    4  (-0.112577E+00,-0.238111E-02) (-0.112536E+00,-0.219422E-02) ( 0.950163E-05,-0.433073E-02)    230.907060      1.000000
   74    4  (-0.112577E+00,-0.234915E-02) (-0.112536E+00,-0.216477E-02) ( 0.924826E-05,-0.427260E-02)    234.048653      1.000000
   75    4  (-0.112576E+00,-0.231804E-02) (-0.112535E+00,-0.213610E-02) ( 0.900490E-05,-0.421601E-02)    237.190245      1.000000
   76    4  (-0.112576E+00,-0.228774E-02) (-0.112535E+00,-0.210818E-02) ( 0.877102E-05,-0.416089E-02)    240.331838      1.000000
   77    4  (-0.112576E+00,-0.225822E-02) (-0.112535E+00,-0.208098E-02) ( 0.854613E-05,-0.410721E-02)    243.473431      1.000000
   78    4  (-0.112576E+00,-0.222945E-02) (-0.112535E+00,-0.205447E-02) ( 0.832978E-05,-0.405489E-02)    246.615023      1.000000
   79    4  (-0.112576E+00,-0.220141E-02) (-0.112535E+00,-0.202863E-02) ( 0.812155E-05,-0.400388E-02)    249.756616      1.000000
   80    4  (-0.112576E+00,-0.217407E-02) (-0.112535E+00,-0.200343E-02) ( 0.792102E-05,-0.395414E-02)    252.898209      1.000000
   81    4  (-0.112576E+00,-0.214739E-02) (-0.112535E+00,-0.197885E-02) ( 0.772783E-05,-0.390563E-02)    256.039801      1.000000
   82    4  (-0.112575E+00,-0.212136E-02) (-0.112535E+00,-0.195487E-02) ( 0.754163E-05,-0.385829E-02)    259.181394      1.000000
   83    4  (-0.112575E+00,-0.209596E-02) (-0.112534E+00,-0.193146E-02) ( 0.736207E-05,-0.381208E-02)    262.322987      1.000000
   84    4  (-0.112575E+00,-0.207116E-02) (-0.112534E+00,-0.190860E-02) ( 0.718886E-05,-0.376697E-02)    265.464579      1.000000
   85    4  (-0.112575E+00,-0.204693E-02) (-0.112534E+00,-0.188628E-02) ( 0.702168E-05,-0.372291E-02)    268.606172      1.000000
   86    4  (-0.112575E+00,-0.202327E-02) (-0.112534E+00,-0.186447E-02) ( 0.686027E-05,-0.367987E-02)    271.747765      1.000000
   87    4  (-0.112575E+00,-0.200015E-02) (-0.112534E+00,-0.184316E-02) ( 0.670436E-05,-0.363781E-02)    274.889357      1.000000
   88    4  (-0.112575E+00,-0.197755E-02) (-0.112534E+00,-0.182234E-02) ( 0.655370E-05,-0.359671E-02)    278.030950      1.000000
   89    4  (-0.112575E+00,-0.195545E-02) (-0.112534E+00,-0.180198E-02) ( 0.640807E-05,-0.355652E-02)    281.172542      1.000000
   90    4  (-0.112575E+00,-0.193385E-02) (-0.112534E+00,-0.178207E-02) ( 0.626724E-05,-0.351722E-02)    284.314135      1.000000
   91    4  (-0.112574E+00,-0.191271E-02) (-0.112534E+00,-0.176259E-02) ( 0.613100E-05,-0.347879E-02)    287.455728      1.000000
   92    4  (-0.112574E+00,-0.189203E-02) (-0.112534E+00,-0.174354E-02) ( 0.599915E-05,-0.344118E-02)    290.597320      1.000000
   93    4  (-0.112574E+00,-0.187180E-02) (-0.112534E+00,-0.172489E-02) ( 0.587152E-05,-0.340437E-02)    293.738913      1.000000
   94    4  (-0.112574E+00,-0.185199E-02) (-0.112533E+00,-0.170664E-02) ( 0.574791E-05,-0.336835E-02)    296.880506      1.000000
   95    4  (-0.112574E+00,-0.183260E-02) (-0.112533E+00,-0.168877E-02) ( 0.562816E-05,-0.333308E-02)    300.022098      1.000000
   96    4  (-0.112574E+00,-0.181361E-02) (-0.112533E+00,-0.167127E-02) ( 0.551212E-05,-0.329854E-02)    303.163691      1.000000
   97    4  (-0.112574E+00,-0.179501E-02) (-0.112533E+00,-0.165413E-02) ( 0.539963E-05,-0.326471E-02)    306.305284      1.000000
   98    4  (-0.112574E+00,-0.177679E-02) (-0.112533E+00,-0.163734E-02) ( 0.529055E-05,-0.323156E-02)    309.446876      1.000000
   99    4  (-0.112574E+00,-0.175893E-02) (-0.112533E+00,-0.162088E-02) ( 0.518475E-05,-0.319909E-02)    312.588469      1.000000
  100    4  (-0.112574E+00,-0.174143E-02) (-0.112533E+00,-0.160475E-02) ( 0.508208E-05,-0.316725E-02)    315.730062      1.000000
  101    4  (-0.112574E+00,-0.172427E-02) (-0.112533E+00,-0.158894E-02) ( 0.498243E-05,-0.313605E-02)    318.871654      1.000000
  102    4  (-0.112574E+00,-0.170745E-02) (-0.112533E+00,-0.157344E-02) ( 0.488569E-05,-0.310545E-02)    322.013247      1.000000
  103    4  (-0.112574E+00,-0.169095E-02) (-0.112533E+00,-0.155824E-02) ( 0.479174E-05,-0.307545E-02)    325.154840      1.000000
  104    4  (-0.112574E+00,-0.167477E-02) (-0.112533E+00,-0.154333E-02) ( 0.470047E-05,-0.304602E-02)    328.296432      1.000000
  105    4  (-0.112573E+00,-0.165890E-02) (-0.112533E+00,-0.152870E-02) ( 0.461178E-05,-0.301715E-02)    331.438025      1.000000
  106    4  (-0.112573E+00,-0.164332E-02) (-0.112533E+00,-0.151435E-02) ( 0.452558E-05,-0.298882E-02)    334.579618      1.000000
  107    4  (-0.112573E+00,-0.162804E-02) (-0.112533E+00,-0.150026E-02) ( 0.444178E-05,-0.296102E-02)    337.721210      1.000000
  108    4  (-0.112573E+00,-0.161303E-02) (-0.112533E+00,-0.148644E-02) ( 0.436028E-05,-0.293373E-02)    340.862803      1.000000
  109    4  (-0.112573E+00,-0.159830E-02) (-0.112533E+00,-0.147286E-02) ( 0.428100E-05,-0.290693E-02)    344.004396      1.000000
  110    4  (-0.112573E+00,-0.158384E-02) (-0.112532E+00,-0.145953E-02) ( 0.420387E-05,-0.288063E-02)    347.145988      1.000000
  111    4  (-0.112573E+00,-0.156963E-02) (-0.112532E+00,-0.144644E-02) ( 0.412880E-05,-0.285479E-02)    350.287581      1.000000
  112    4  (-0.112573E+00,-0.155568E-02) (-0.112532E+00,-0.143359E-02) ( 0.405573E-05,-0.282942E-02)    353.429174      1.000000
  113    4  (-0.112573E+00,-0.154197E-02) (-0.112532E+00,-0.142096E-02) ( 0.398458E-05,-0.280449E-02)    356.570766      1.000000
  114    4  (-0.112573E+00,-0.152851E-02) (-0.112532E+00,-0.140855E-02) ( 0.391528E-05,-0.277999E-02)    359.712359      1.000000
  115    4  (-0.112573E+00,-0.151527E-02) (-0.112532E+00,-0.139635E-02) ( 0.384778E-05,-0.275592E-02)    362.853951      1.000000
  116    4  (-0.112573E+00,-0.150227E-02) (-0.112532E+00,-0.138437E-02) ( 0.378201E-05,-0.273227E-02)    365.995544      1.000000
  117    4  (-0.112573E+00,-0.148948E-02) (-0.112532E+00,-0.137258E-02) ( 0.371790E-05,-0.270902E-02)    369.137137      1.000000
  118    4  (-0.112573E+00,-0.147691E-02) (-0.112532E+00,-0.136100E-02) ( 0.365542E-05,-0.268615E-02)    372.278729      1.000000
  119    4  (-0.112573E+00,-0.146455E-02) (-0.112532E+00,-0.134961E-02) ( 0.359450E-05,-0.266368E-02)    375.420322      1.000000
  120    4  (-0.112573E+00,-0.145240E-02) (-0.112532E+00,-0.133841E-02) ( 0.353509E-05,-0.264157E-02)    378.561915      1.000000
  121    4  (-0.112573E+00,-0.144045E-02) (-0.112532E+00,-0.132740E-02) ( 0.347713E-05,-0.261983E-02)    381.703507      1.000000
  122    4  (-0.112573E+00,-0.142869E-02) (-0.112532E+00,-0.131656E-02) ( 0.342060E-05,-0.259844E-02)    384.845100      1.000000
  123    4  (-0.112573E+00,-0.141712E-02) (-0.112532E+00,-0.130590E-02) ( 0.336543E-05,-0.257740E-02)    387.986693      1.000000
  124    4  (-0.112573E+00,-0.140574E-02) (-0.112532E+00,-0.129541E-02) ( 0.331158E-05,-0.255670E-02)    391.128285      1.000000
  125    4  (-0.112573E+00,-0.139454E-02) (-0.112532E+00,-0.128509E-02) ( 0.325902E-05,-0.253633E-02)    394.269878      1.000000
  126    4  (-0.112573E+00,-0.138351E-02) (-0.112532E+00,-0.127493E-02) ( 0.320769E-05,-0.251628E-02)    397.411471      1.000000
  127    4  (-0.112573E+00,-0.137266E-02) (-0.112532E+00,-0.126493E-02) ( 0.315758E-05,-0.249654E-02)    400.553063      1.000000
  128    4  (-0.112572E+00,-0.136198E-02) (-0.112532E+00,-0.125509E-02) ( 0.310862E-05,-0.247712E-02)    403.694656      1.000000
  129    4  (-0.112572E+00,-0.135146E-02) (-0.112532E+00,-0.124540E-02) ( 0.306080E-05,-0.245799E-02)    406.836249      1.000000
  130    4  (-0.112572E+00,-0.134111E-02) (-0.112532E+00,-0.123586E-02) ( 0.301407E-05,-0.243915E-02)    409.977841      1.000000
  131    4  (-0.112572E+00,-0.133091E-02) (-0.112532E+00,-0.122646E-02) ( 0.296840E-05,-0.242060E-02)    413.119434      1.000000
  132    4  (-0.112572E+00,-0.132086E-02) (-0.112532E+00,-0.121720E-02) ( 0.292376E-05,-0.240234E-02)    416.261027      1.000000
  133    4  (-0.112572E+00,-0.131097E-02) (-0.112532E+00,-0.120809E-02) ( 0.288013E-05,-0.238434E-02)    419.402619      1.000000
  134    4  (-0.112572E+00,-0.130122E-02) (-0.112532E+00,-0.119910E-02) ( 0.283746E-05,-0.236661E-02)    422.544212      1.000000
  135    4  (-0.112572E+00,-0.129162E-02) (-0.112532E+00,-0.119025E-02) ( 0.279573E-05,-0.234915E-02)    425.685805      1.000000
  136    4  (-0.112572E+00,-0.128216E-02) (-0.112532E+00,-0.118153E-02) ( 0.275492E-05,-0.233194E-02)    428.827397      1.000000
  137    4  (-0.112572E+00,-0.127283E-02) (-0.112532E+00,-0.117294E-02) ( 0.271499E-05,-0.231498E-02)    431.968990      1.000000
  138    4  (-0.112572E+00,-0.126364E-02) (-0.112532E+00,-0.116447E-02) ( 0.267593E-05,-0.229826E-02)    435.110583      1.000000
  139    4  (-0.112572E+00,-0.125458E-02) (-0.112531E+00,-0.115613E-02) ( 0.263770E-05,-0.228179E-02)    438.252175      1.000000
  140    4  (-0.112572E+00,-0.124566E-02) (-0.112531E+00,-0.114790E-02) ( 0.260029E-05,-0.226555E-02)    441.393768      1.000000
  141    4  (-0.112572E+00,-0.123685E-02) (-0.112531E+00,-0.113979E-02) ( 0.256367E-05,-0.224954E-02)    444.535360      1.000000
  142    4  (-0.112572E+00,-0.122817E-02) (-0.112531E+00,-0.113179E-02) ( 0.252781E-05,-0.223375E-02)    447.676953      1.000000
  143    4  (-0.112572E+00,-0.121961E-02) (-0.112531E+00,-0.112390E-02) ( 0.249270E-05,-0.221818E-02)    450.818546      1.000000
  144    4  (-0.112572E+00,-0.121117E-02) (-0.112531E+00,-0.111612E-02) ( 0.245832E-05,-0.220283E-02)    453.960138      1.000000
  145    4  (-0.112572E+00,-0.120285E-02) (-0.112531E+00,-0.110845E-02) ( 0.242465E-05,-0.218769E-02)    457.101731      1.000000
  146    4  (-0.112572E+00,-0.119464E-02) (-0.112531E+00,-0.110089E-02) ( 0.239166E-05,-0.217276E-02)    460.243324      1.000000
  147    4  (-0.112572E+00,-0.118654E-02) (-0.112531E+00,-0.109342E-02) ( 0.235934E-05,-0.215803E-02)    463.384916      1.000000
  148    4  (-0.112572E+00,-0.117855E-02) (-0.112531E+00,-0.108606E-02) ( 0.232767E-05,-0.214350E-02)    466.526509      1.000000
  149    4  (-0.112572E+00,-0.117067E-02) (-0.112531E+00,-0.107880E-02) ( 0.229663E-05,-0.212916E-02)    469.668102      1.000000
  150    4  (-0.112572E+00,-0.116289E-02) (-0.112531E+00,-0.107163E-02) ( 0.226622E-05,-0.211501E-02)    472.809694      1.000000
  151    4  (-0.112572E+00,-0.115521E-02) (-0.112531E+00,-0.106456E-02) ( 0.223640E-05,-0.210105E-02)    475.951287      1.000000
  152    4  (-0.112572E+00,-0.114764E-02) (-0.112531E+00,-0.105757E-02) ( 0.220716E-05,-0.208728E-02)    479.092880      1.000000
  153    4  (-0.112572E+00,-0.114016E-02) (-0.112531E+00,-0.105069E-02) ( 0.217850E-05,-0.207368E-02)    482.234472      1.000000
  154    4  (-0.112572E+00,-0.113278E-02) (-0.112531E+00,-0.104388E-02) ( 0.215039E-05,-0.206026E-02)    485.376065      1.000000
  155    4  (-0.112572E+00,-0.112550E-02) (-0.112531E+00,-0.103717E-02) ( 0.212282E-05,-0.204701E-02)    488.517658      1.000000
  156    4  (-0.112572E+00,-0.111831E-02) (-0.112531E+00,-0.103054E-02) ( 0.209578E-05,-0.203393E-02)    491.659250      1.000000
  157    4  (-0.112572E+00,-0.111120E-02) (-0.112531E+00,-0.102400E-02) ( 0.206925E-05,-0.202101E-02)    494.800843      1.000000
  158    4  (-0.112572E+00,-0.110419E-02) (-0.112531E+00,-0.101754E-02) ( 0.204322E-05,-0.200826E-02)    497.942436      1.000000
  159    4  (-0.112572E+00,-0.109727E-02) (-0.112531E+00,-0.101116E-02) ( 0.201768E-05,-0.199567E-02)    501.084028      1.000000
  160    4  (-0.112572E+00,-0.109043E-02) (-0.112531E+00,-0.100486E-02) ( 0.199262E-05,-0.198324E-02)    504.225621      1.000000
  161    4  (-0.112572E+00,-0.108368E-02) (-0.112531E+00,-0.998641E-03) ( 0.196802E-05,-0.197096E-02)    507.367214      1.000000
  162    4  (-0.112572E+00,-0.107701E-02) (-0.112531E+00,-0.992495E-03) ( 0.194387E-05,-0.195883E-02)    510.508806      1.000000
  163    4  (-0.112572E+00,-0.107043E-02) (-0.112531E+00,-0.986425E-03) ( 0.192017E-05,-0.194685E-02)    513.650399      1.000000
  164    4  (-0.112572E+00,-0.106392E-02) (-0.112531E+00,-0.980429E-03) ( 0.189689E-05,-0.193501E-02)    516.791992      1.000000
  165    4  (-0.112572E+00,-0.105749E-02) (-0.112531E+00,-0.974505E-03) ( 0.187404E-05,-0.192332E-02)    519.933584      1.000000
  166    4  (-0.112572E+00,-0.105114E-02) (-0.112531E+00,-0.968653E-03) ( 0.185159E-05,-0.191177E-02)    523.075177      1.000000
  167    4  (-0.112572E+00,-0.104486E-02) (-0.112531E+00,-0.962870E-03) ( 0.182955E-05,-0.190036E-02)    526.216769      1.000000
  168    4  (-0.112572E+00,-0.103866E-02) (-0.112531E+00,-0.957156E-03) ( 0.180790E-05,-0.188908E-02)    529.358362      1.000000
  169    4  (-0.112572E+00,-0.103254E-02) (-0.112531E+00,-0.951509E-03) ( 0.178663E-05,-0.187793E-02)    532.499955      1.000000
  170    4  (-0.112572E+00,-0.102648E-02) (-0.112531E+00,-0.945929E-03) ( 0.176574E-05,-0.186692E-02)    535.641547      1.000000
  171    4  (-0.112572E+00,-0.102050E-02) (-0.112531E+00,-0.940413E-03) ( 0.174520E-05,-0.185603E-02)    538.783140      1.000000
  172    4  (-0.112572E+00,-0.101458E-02) (-0.112531E+00,-0.934962E-03) ( 0.172503E-05,-0.184527E-02)    541.924733      1.000000
  173    4  (-0.112572E+00,-0.100873E-02) (-0.112531E+00,-0.929573E-03) ( 0.170520E-05,-0.183464E-02)    545.066325      1.000000
  174    4  (-0.112572E+00,-0.100295E-02) (-0.112531E+00,-0.924246E-03) ( 0.168571E-05,-0.182412E-02)    548.207918      1.000000
  175    4  (-0.112572E+00,-0.997236E-03) (-0.112531E+00,-0.918980E-03) ( 0.166656E-05,-0.181373E-02)    551.349511      1.000000
  176    4  (-0.112572E+00,-0.991586E-03) (-0.112531E+00,-0.913774E-03) ( 0.164773E-05,-0.180345E-02)    554.491103      1.000000
  177    4  (-0.112572E+00,-0.986000E-03) (-0.112531E+00,-0.908626E-03) ( 0.162921E-05,-0.179329E-02)    557.632696      1.000000
  178    4  (-0.112572E+00,-0.980476E-03) (-0.112531E+00,-0.903536E-03) ( 0.161101E-05,-0.178325E-02)    560.774289      1.000000
  179    4  (-0.112572E+00,-0.975014E-03) (-0.112531E+00,-0.898503E-03) ( 0.159311E-05,-0.177331E-02)    563.915881      1.000000
  180    4  (-0.112571E+00,-0.969612E-03) (-0.112531E+00,-0.893525E-03) ( 0.157551E-05,-0.176349E-02)    567.057474      1.000000
  181    4  (-0.112571E+00,-0.964270E-03) (-0.112531E+00,-0.888602E-03) ( 0.155819E-05,-0.175377E-02)    570.199067      1.000000
  182    4  (-0.112571E+00,-0.958986E-03) (-0.112531E+00,-0.883733E-03) ( 0.154116E-05,-0.174416E-02)    573.340659      1.000000
  183    4  (-0.112571E+00,-0.953760E-03) (-0.112531E+00,-0.878918E-03) ( 0.152441E-05,-0.173466E-02)    576.482252      1.000000
  184    4  (-0.112571E+00,-0.948591E-03) (-0.112531E+00,-0.874154E-03) ( 0.150793E-05,-0.172526E-02)    579.623845      1.000000
  185    4  (-0.112571E+00,-0.943477E-03) (-0.112531E+00,-0.869442E-03) ( 0.149172E-05,-0.171595E-02)    582.765437      1.000000
  186    4  (-0.112571E+00,-0.938418E-03) (-0.112531E+00,-0.864780E-03) ( 0.147576E-05,-0.170675E-02)    585.907030      1.000000
  187    4  (-0.112571E+00,-0.933414E-03) (-0.112531E+00,-0.860168E-03) ( 0.146006E-05,-0.169765E-02)    589.048623      1.000000
  188    4  (-0.112571E+00,-0.928462E-03) (-0.112531E+00,-0.855605E-03) ( 0.144461E-05,-0.168865E-02)    592.190215      1.000000
  189    4  (-0.112571E+00,-0.923562E-03) (-0.112531E+00,-0.851090E-03) ( 0.142941E-05,-0.167973E-02)    595.331808      1.000000
  190    4  (-0.112571E+00,-0.918714E-03) (-0.112531E+00,-0.846623E-03) ( 0.141444E-05,-0.167092E-02)    598.473401      1.000000
  191    4  (-0.112571E+00,-0.913917E-03) (-0.112531E+00,-0.842202E-03) ( 0.139971E-05,-0.166219E-02)    601.614993      1.000000
  192    4  (-0.112571E+00,-0.909169E-03) (-0.112531E+00,-0.837827E-03) ( 0.138520E-05,-0.165356E-02)    604.756586      1.000000
  193    4  (-0.112571E+00,-0.904471E-03) (-0.112531E+00,-0.833498E-03) ( 0.137092E-05,-0.164501E-02)    607.898178      1.000000
  194    4  (-0.112571E+00,-0.899820E-03) (-0.112531E+00,-0.829213E-03) ( 0.135686E-05,-0.163655E-02)    611.039771      1.000000
  195    4  (-0.112571E+00,-0.895218E-03) (-0.112531E+00,-0.824971E-03) ( 0.134302E-05,-0.162818E-02)    614.181364      1.000000
  196    4  (-0.112571E+00,-0.890662E-03) (-0.112531E+00,-0.820773E-03) ( 0.132938E-05,-0.161990E-02)    617.322956      1.000000
  197    4  (-0.112571E+00,-0.886152E-03) (-0.112531E+00,-0.816618E-03) ( 0.131595E-05,-0.161169E-02)    620.464549      1.000000
  198    4  (-0.112571E+00,-0.881688E-03) (-0.112531E+00,-0.812504E-03) ( 0.130273E-05,-0.160358E-02)    623.606142      1.000000
  199    4  (-0.112571E+00,-0.877269E-03) (-0.112531E+00,-0.808431E-03) ( 0.128970E-05,-0.159554E-02)    626.747734      1.000000
  200    4  (-0.112571E+00,-0.872893E-03) (-0.112531E+00,-0.804400E-03) ( 0.127687E-05,-0.158758E-02)    629.889327      1.000000
  201    4  (-0.112571E+00,-0.868561E-03) (-0.112531E+00,-0.800408E-03) ( 0.126423E-05,-0.157970E-02)    633.030920      1.000000
  202    4  (-0.112571E+00,-0.864272E-03) (-0.112531E+00,-0.796455E-03) ( 0.125177E-05,-0.157190E-02)    636.172512      1.000000
  203    4  (-0.112571E+00,-0.860025E-03) (-0.112531E+00,-0.792542E-03) ( 0.123950E-05,-0.156418E-02)    639.314105      1.000000
  204    4  (-0.112571E+00,-0.855820E-03) (-0.112531E+00,-0.788667E-03) ( 0.122741E-05,-0.155653E-02)    642.455698      1.000000
  205    4  (-0.112571E+00,-0.851655E-03) (-0.112531E+00,-0.784829E-03) ( 0.121549E-05,-0.154895E-02)    645.597290      1.000000
  206    4  (-0.112571E+00,-0.847531E-03) (-0.112531E+00,-0.781029E-03) ( 0.120374E-05,-0.154145E-02)    648.738883      1.000000
  207    4  (-0.112571E+00,-0.843447E-03) (-0.112531E+00,-0.777265E-03) ( 0.119217E-05,-0.153402E-02)    651.880476      1.000000
  208    4  (-0.112571E+00,-0.839401E-03) (-0.112531E+00,-0.773537E-03) ( 0.118076E-05,-0.152667E-02)    655.022068      1.000000
  209    4  (-0.112571E+00,-0.835395E-03) (-0.112531E+00,-0.769845E-03) ( 0.116952E-05,-0.151938E-02)    658.163661      1.000000
  210    4  (-0.112571E+00,-0.831426E-03) (-0.112531E+00,-0.766188E-03) ( 0.115843E-05,-0.151216E-02)    661.305254      1.000000
  211    4  (-0.112571E+00,-0.827495E-03) (-0.112531E+00,-0.762566E-03) ( 0.114750E-05,-0.150501E-02)    664.446846      1.000000
  212    4  (-0.112571E+00,-0.823601E-03) (-0.112531E+00,-0.758977E-03) ( 0.113673E-05,-0.149793E-02)    667.588439      1.000000
  213    4  (-0.112571E+00,-0.819743E-03) (-0.112531E+00,-0.755423E-03) ( 0.112610E-05,-0.149091E-02)    670.730032      1.000000
  214    4  (-0.112571E+00,-0.815922E-03) (-0.112531E+00,-0.751901E-03) ( 0.111563E-05,-0.148396E-02)    673.871624      1.000000
  215    4  (-0.112571E+00,-0.812135E-03) (-0.112531E+00,-0.748412E-03) ( 0.110530E-05,-0.147708E-02)    677.013217      1.000000
  216    4  (-0.112571E+00,-0.808384E-03) (-0.112531E+00,-0.744956E-03) ( 0.109511E-05,-0.147025E-02)    680.154810      1.000000
  217    4  (-0.112571E+00,-0.804668E-03) (-0.112531E+00,-0.741531E-03) ( 0.108507E-05,-0.146349E-02)    683.296402      1.000000
  218    4  (-0.112571E+00,-0.800985E-03) (-0.112531E+00,-0.738137E-03) ( 0.107516E-05,-0.145680E-02)    686.437995      1.000000
  219    4  (-0.112571E+00,-0.797336E-03) (-0.112531E+00,-0.734775E-03) ( 0.106538E-05,-0.145016E-02)    689.579587      1.000000
  220    4  (-0.112571E+00,-0.793720E-03) (-0.112531E+00,-0.731443E-03) ( 0.105574E-05,-0.144358E-02)    692.721180      1.000000
  221    4  (-0.112571E+00,-0.790136E-03) (-0.112531E+00,-0.728141E-03) ( 0.104623E-05,-0.143706E-02)    695.862773      1.000000
  222    4  (-0.112571E+00,-0.786585E-03) (-0.112531E+00,-0.724868E-03) ( 0.103685E-05,-0.143061E-02)    699.004365      1.000000
  223    4  (-0.112571E+00,-0.783066E-03) (-0.112531E+00,-0.721625E-03) ( 0.102759E-05,-0.142420E-02)    702.145958      1.000000
  224    4  (-0.112571E+00,-0.779578E-03) (-0.112530E+00,-0.718411E-03) ( 0.101846E-05,-0.141786E-02)    705.287551      1.000000
  225    4  (-0.112571E+00,-0.776121E-03) (-0.112530E+00,-0.715226E-03) ( 0.100944E-05,-0.141157E-02)    708.429143      1.000000
