 Results for ntg,nwn,filling,cluster,ntot,ndim,inhgrid,chcrt0
       20000         800  0.849906061910793      16B         200           2
           0  0.244367952437218     
 ed,u,beta,iter,run,meas,tprime,tperp
  0.393699895375276        1.50000000000000        2.00000000000000     
           1       80000           1  0.000000000000000E+000
  0.000000000000000E+000
 nfocc=     <Sign>     skip
  0.424953030955396        1.00000000000000                4
 Vmax ,nuse, alpha, vblmax
         100           8  0.510000000000000                4
           mu**2            T*chi_ii(T)
  0.000000000000000E+000  0.000000000000000E+000
 iter            1  of            1
   configuration  v_tau,v_site, v_s  
   1.00000000000000               17
   7504.00000000000                7           1
   2593.00000000000               12          -1
   15794.0000000000               12          -1
   15325.0000000000               12          -1
   13447.0000000000                4          -1
   13213.0000000000                5          -1
   15427.0000000000                1           1
   6848.00000000000                2           1
   14630.0000000000               15          -1
   15460.0000000000                4          -1
   10596.0000000000                9           1
   11304.0000000000                7           1
   14695.0000000000                2           1
   17750.0000000000               14          -1
   6023.00000000000                9           1
   2276.00000000000               14          -1
   11715.0000000000                2           1
 n   ic  sigma(n,ic)  sigmapt(n,ic)  GcKfsc(n,ic)  iwn(n)   quadw(n)
   48    1  (-0.112583E+00,-0.360839E-02) (-0.112541E+00,-0.332517E-02) (-0.169586E-04,-0.656302E-02)    152.367244      1.000000
   49    1  (-0.112583E+00,-0.353550E-02) (-0.112541E+00,-0.325800E-02) (-0.162804E-04,-0.643044E-02)    155.508836      1.000000
   50    1  (-0.112582E+00,-0.346550E-02) (-0.112540E+00,-0.319349E-02) (-0.156420E-04,-0.630310E-02)    158.650429      1.000000
   51    1  (-0.112582E+00,-0.339821E-02) (-0.112540E+00,-0.313149E-02) (-0.150404E-04,-0.618072E-02)    161.792022      1.000000
   52    1  (-0.112581E+00,-0.333349E-02) (-0.112540E+00,-0.307185E-02) (-0.144729E-04,-0.606299E-02)    164.933614      1.000000
   53    1  (-0.112581E+00,-0.327119E-02) (-0.112539E+00,-0.301443E-02) (-0.139370E-04,-0.594967E-02)    168.075207      1.000000
   54    1  (-0.112581E+00,-0.321117E-02) (-0.112539E+00,-0.295913E-02) (-0.134302E-04,-0.584050E-02)    171.216800      1.000000
   55    1  (-0.112580E+00,-0.315331E-02) (-0.112539E+00,-0.290582E-02) (-0.129506E-04,-0.573527E-02)    174.358392      1.000000
   56    1  (-0.112580E+00,-0.309751E-02) (-0.112538E+00,-0.285439E-02) (-0.124962E-04,-0.563376E-02)    177.499985      1.000000
   57    1  (-0.112580E+00,-0.304364E-02) (-0.112538E+00,-0.280475E-02) (-0.120654E-04,-0.553578E-02)    180.641578      1.000000
   58    1  (-0.112579E+00,-0.299162E-02) (-0.112538E+00,-0.275681E-02) (-0.116564E-04,-0.544115E-02)    183.783170      1.000000
   59    1  (-0.112579E+00,-0.294134E-02) (-0.112538E+00,-0.271048E-02) (-0.112679E-04,-0.534971E-02)    186.924763      1.000000
   60    1  (-0.112579E+00,-0.289273E-02) (-0.112537E+00,-0.266568E-02) (-0.108985E-04,-0.526128E-02)    190.066356      1.000000
   61    1  (-0.112578E+00,-0.284569E-02) (-0.112537E+00,-0.262234E-02) (-0.105469E-04,-0.517574E-02)    193.207948      1.000000
   62    1  (-0.112578E+00,-0.280017E-02) (-0.112537E+00,-0.258039E-02) (-0.102122E-04,-0.509293E-02)    196.349541      1.000000
   63    1  (-0.112578E+00,-0.275607E-02) (-0.112537E+00,-0.253975E-02) (-0.989304E-05,-0.501272E-02)    199.491134      1.000000
   64    1  (-0.112578E+00,-0.271334E-02) (-0.112536E+00,-0.250038E-02) (-0.958866E-05,-0.493501E-02)    202.632726      1.000000
   65    1  (-0.112577E+00,-0.267192E-02) (-0.112536E+00,-0.246221E-02) (-0.929812E-05,-0.485966E-02)    205.774319      1.000000
   66    1  (-0.112577E+00,-0.263174E-02) (-0.112536E+00,-0.242519E-02) (-0.902058E-05,-0.478659E-02)    208.915911      1.000000
   67    1  (-0.112577E+00,-0.259276E-02) (-0.112536E+00,-0.238926E-02) (-0.875529E-05,-0.471568E-02)    212.057504      1.000000
   68    1  (-0.112577E+00,-0.255491E-02) (-0.112536E+00,-0.235438E-02) (-0.850153E-05,-0.464683E-02)    215.199097      1.000000
   69    1  (-0.112577E+00,-0.251815E-02) (-0.112535E+00,-0.232051E-02) (-0.825864E-05,-0.457997E-02)    218.340689      1.000000
   70    1  (-0.112577E+00,-0.248243E-02) (-0.112535E+00,-0.228759E-02) (-0.802602E-05,-0.451501E-02)    221.482282      1.000000
   71    1  (-0.112576E+00,-0.244771E-02) (-0.112535E+00,-0.225560E-02) (-0.780308E-05,-0.445186E-02)    224.623875      1.000000
   72    1  (-0.112576E+00,-0.241395E-02) (-0.112535E+00,-0.222449E-02) (-0.758931E-05,-0.439046E-02)    227.765467      1.000000
   73    1  (-0.112576E+00,-0.238111E-02) (-0.112535E+00,-0.219423E-02) (-0.738421E-05,-0.433073E-02)    230.907060      1.000000
   74    1  (-0.112576E+00,-0.234915E-02) (-0.112535E+00,-0.216478E-02) (-0.718730E-05,-0.427260E-02)    234.048653      1.000000
   75    1  (-0.112576E+00,-0.231804E-02) (-0.112535E+00,-0.213611E-02) (-0.699817E-05,-0.421601E-02)    237.190245      1.000000
   76    1  (-0.112576E+00,-0.228774E-02) (-0.112535E+00,-0.210818E-02) (-0.681641E-05,-0.416090E-02)    240.331838      1.000000
   77    1  (-0.112575E+00,-0.225822E-02) (-0.112534E+00,-0.208098E-02) (-0.664164E-05,-0.410721E-02)    243.473431      1.000000
